居民健康水平_省份,居民健康水平_代码,居民健康水平_年份,总体健康水平_甲乙类法定报告传染病发病率（1/10w）,总体健康水平_甲乙类法定报告传染病死亡率（1/10w）,总体健康水平_人口死亡率,总体健康水平_人口平均预期寿命（岁）,孕产妇健康水平_系统管理率%,孕产妇健康水平_产后访视率%,孕产妇健康水平_产前检查率%,孕产妇健康水平_孕产妇死亡率%,孕产妇健康水平_住院分娩率%,儿童健康水平_新生儿访视率%,儿童健康水平_3岁以下儿童系统管理率%,儿童健康水平_7岁以下儿童健康保健管理率%,儿童健康水平_难产婴儿死亡率‰,儿童健康水平_5岁以下儿童低体重患病率%
内蒙古,18,2022,299.63,0.35,7.8,78.18,96.1,97.1,98.4,8.48,100,93.6,94.9,95.3,5.1,0.54
内蒙古,18,2023,336.62,0.33,7.83,78.49,96.8,97.6,98.7,9.42,100,92.1,95,95.8,5.1,0.45
内蒙古,18,2024,373.61,0.31,8.42,78.8,97.5,98.1,99,10.36,100,90.6,95.1,96.3,5.1,0.36
宁夏,19,2012,265.31,0.36,4.33,74.02,96.3,98.7,99.5,4.33,99.8,98.6,93.1,94.1,11.2,0.45
宁夏,19,2013,253.33,0.46,4.5,74.34,96.3,98.4,99.2,4.5,99.8,98.4,93.1,95.1,9.6,0.48
宁夏,19,2014,268.94,0.61,4.53,74.66,97,98.7,99.3,4.53,99.9,98.4,94.8,96.1,8.6,0.6
宁夏,19,2015,234.95,0.51,4.58,74.98,96.8,98.7,99.3,4.58,99.9,98.9,94.1,96.2,8.3,0.8
宁夏,19,2016,225.97,0.39,4.72,75.3,97.2,98.5,99.2,4.72,99.9,99,95,96.5,8.8,0.85
宁夏,19,2017,220.68,0.61,4.75,75.62,97.1,98.5,99.4,4.75,100,98.8,94.5,95.4,8.1,0.57
宁夏,19,2018,224.4,0.95,5.54,75.94,96.1,98.5,99.2,5.54,100,99.2,93.8,95.3,6.3,0.54
宁夏,19,2019,214.08,0.63,5.69,76.26,86.5,88.2,88.5,5.69,100,88,95.3,95.4,4.5,0.52
宁夏,19,2020,168.75,0.6,5.9,76.58,95.8,96.9,97.4,5.89,100,97.4,96.1,96.3,4.7,0.44
宁夏,19,2021,174.59,0.49,6.1,76.9,97.9,98.8,99.2,6.09,100,96.2,96.4,96.4,4.7,0.5
宁夏,19,2022,180.43,0.38,6.2,77.22,100,99.1,100,6.29,100,95,96.7,96.5,4.7,0.56
宁夏,19,2023,186.27,0.27,6.19,77.54,100,99.2,100,6.49,100,93.8,97,96.6,4.7,0.62
宁夏,19,2024,192.11,0.16,6.09,77.86,99.8,99.5,100,6.69,100,92.6,97.3,96.7,4.7,0.68
青海,20,2012,464.44,0.74,6.06,70.76,85,88.5,89.3,6.06,94.1,89,85.4,80.7,8.9,2.33
青海,20,2013,480.59,0.63,6.13,71.16,86.4,88.6,89.4,6.13,95.5,88.9,86.4,81.8,7.7,2.46
青海,20,2014,387.77,0.68,6.18,71.56,91.7,94.3,95.7,6.18,96.8,92.4,87.2,83.2,7,2.36
青海,20,2015,414.3,0.63,6.17,71.96,91.6,93.4,95.2,6.17,97.2,89.8,90.9,87.3,7,2.07
青海,20,2016,426.63,0.93,6.18,72.36,90.6,93.5,94.7,6.18,97.3,89.2,87.3,85.9,7.1,2.38
青海,20,2017,452.07,0.71,6.17,72.76,91.6,94.8,95.8,6.17,97.6,94.7,90.2,89.6,7.3,1.58
青海,20,2018,433.29,0.87,6.25,73.16,91.6,93.7,96.1,6.25,98.7,92.3,91.4,89.4,6.5,1.08
青海,20,2019,438.02,1.13,6.08,73.56,91.9,93.4,96.1,6.08,98.9,91.6,91.6,90.4,6.5,1.28
青海,20,2020,376.8,1.04,6.6,73.96,91.6,93.8,95.4,6.5,99.1,92.7,91.4,91.5,6.4,1.01
青海,20,2021,392.09,0.86,6.9,74.36,92.5,94.8,97.2,6.91,99.8,92.8,91.4,91.4,6.4,0.82
青海,20,2022,407.38,0.68,7.2,74.76,93.4,95.8,99,7.32,100,92.9,91.4,91.3,6.4,0.63
青海,20,2023,422.67,0.5,7.23,75.16,94.3,96.8,100,7.73,100,93,91.4,91.2,6.4,0.44
青海,20,2024,437.96,0.32,7.4,75.56,95.2,97.8,100,8.14,100,93.1,91.4,91.1,6.4,0.25
山东,21,2012,114.6,0.29,6.95,77,93,95.3,96.1,6.95,100,95,93.9,93.1,4.8,0.67
山东,21,2013,124.05,0.29,6.4,77.28,92,94.2,95.5,6.4,100,93.6,93.4,93,4.7,0.64
山东,21,2014,131.65,0.25,6.84,77.55,90.8,93.1,94.6,6.84,100,93,91.8,91.4,4.5,0.88
山东,21,2015,130.9,0.29,6.67,77.82,91.5,93.2,95.4,6.67,99.9,93.4,92.2,92.2,3.9,0.99
山东,21,2016,137.19,0.31,7.05,78.09,91.8,93.2,95.3,7.05,100,92.8,92.5,92.3,4.7,0.96
山东,21,2017,144.89,0.31,7.4,78.36,92.1,93.3,94.9,7.4,100,93.1,92.6,92.4,4.3,1.05
山东,21,2018,157.38,0.32,7.18,78.64,91.9,93.1,95.3,7.18,100,93.2,91.6,92.3,3.7,0.97
山东,21,2019,163.44,0.32,7.5,78.91,92.5,93.6,95.7,7.5,100,93.9,93.2,93.1,3.6,0.92
山东,21,2020,131.73,0.3,7.2,79.18,93.4,94.5,96.5,7.43,100,95,93.9,93.9,3.5,0.83
山东,21,2021,138.31,0.29,7.4,79.45,94.5,95.5,97,7.36,100,94.8,94.9,94.9,3.5,0.76
山东,21,2022,144.89,0.28,7.6,79.72,95.6,96.5,97.5,7.29,100,94.6,95.9,95.9,3.5,0.69
山东,21,2023,151.47,0.27,8.2,79.99,96.7,97.5,98,7.22,100,94.4,96.9,96.9,3.5,0.62
山东,21,2024,158.05,0.26,8.1,80.26,97.8,98.5,98.5,7.15,100,94.2,97.9,97.9,3.5,0.55
山西,22,2012,310.18,0.44,5.83,75.52,82.4,90.5,92.9,5.83,99.8,91,86,88.2,7.8,1.08
山西,22,2013,296.86,0.49,5.57,75.82,84,90.6,90.6,5.57,99.9,90.4,86.8,89.2,7.9,0.96
山西,22,2014,292.45,0.36,5.93,76.12,84.2,92.3,95.1,5.93,99.9,92,87.1,89.4,7.2,1.15
山西,22,2015,268.21,0.34,5.56,76.42,87,92.4,95.8,5.56,99.9,91.5,89,91,6.9,0.87
山西,22,2016,243.87,0.44,5.52,76.71,87.4,92.6,96,5.52,99.9,92.8,88.7,90.9,7.5,0.88
山西,22,2017,236.73,0.47,5.45,77.01,85.9,91.9,95.6,5.45,100,92.1,88.2,89.4,6.3,0.93
山西,22,2018,237.88,0.49,5.32,77.31,83.5,90.6,95.9,5.32,100,90.6,87.7,89.4,5.7,0.85
山西,22,2019,241.92,0.48,5.85,77.61,85.3,92.3,96.8,5.85,100,92.5,88.3,90.7,4.8,0.72
山西,22,2020,202.95,0.37,7,77.91,90.8,95.2,98,6.59,100,95.5,92.4,92.9,4.8,0.77
山西,22,2021,211.66,0.4,7.3,78.21,91.4,95.4,98.2,7.32,100,92.7,93.7,93.7,4.8,0.78
山西,22,2022,220.37,0.43,7.7,78.51,92,95.6,98.4,8.05,100,89.9,95,94.5,4.8,0.79
山西,22,2023,229.08,0.46,8.38,78.81,92.6,95.8,98.6,8.78,100,87.1,96.3,95.3,4.8,0.8
山西,22,2024,237.79,0.49,8.4,79.11,93.2,96,98.8,9.51,100,84.3,97.6,96.1,4.8,0.81
陕西,23,2012,225.39,0.53,6.24,75.3,95.1,97.3,97.2,6.24,99.8,97.2,95.2,95.5,5.6,0.9
陕西,23,2013,207.73,0.47,6.15,75.62,95.8,97.4,96.6,6.15,99.9,97.6,95.3,95.8,5.1,1.06
陕西,23,2014,201.45,0.4,6.26,75.93,95.4,97,98.1,6.26,99.9,97.2,95.3,96,4.5,1.01
陕西,23,2015,200.14,0.5,6.28,76.24,95.5,97.4,98.3,6.28,100,97.6,95,96,4.3,0.94
陕西,23,2016,194.26,0.51,6.23,76.55,95.1,97.4,98.2,6.23,100,97.5,95.4,96,4.3,0.94
陕西,23,2017,193.11,0.66,6.24,76.86,94.3,96.4,97.7,6.24,100,96.6,94.9,95.4,3.7,0.89
陕西,23,2018,186.31,0.73,6.24,77.18,93.6,95.2,97.4,6.24,100,94.8,94.1,95.1,3.5,0.84
陕西,23,2019,180.23,0.76,6.28,77.49,93.2,94.9,97.3,6.28,100,95.5,94.1,94.9,2.9,0.91
陕西,23,2020,150.48,0.66,7.1,77.8,96,97,98.4,6.83,100,97.3,94.6,95.4,3.1,0.75
陕西,23,2021,155.42,0.67,7.4,78.11,96.5,97.2,98.6,7.38,99.9,95.2,96.2,96.2,3.1,0.66
陕西,23,2022,160.36,0.68,7.6,78.42,97,97.4,98.8,7.93,99.8,93.1,97.8,97,3.1,0.57
陕西,23,2023,165.3,0.69,7.64,78.73,97.5,97.6,99,8.48,99.7,91,99.4,97.8,3.1,0.48
陕西,23,2024,170.24,0.7,8.05,79.04,98,97.8,99.2,9.03,99.6,88.9,100,98.6,3.1,0.39
上海,24,2012,190.71,0.61,5.36,80.72,76,78,78.2,5.36,100,98,97.5,99.3,2.7,0.06
上海,24,2013,173.78,0.63,5.24,80.95,95.2,98.2,98.5,5.24,100,98.2,97.6,99,2.4,0.07
上海,24,2014,174.2,0.6,5.21,81.18,95.2,98.4,98.6,5.21,100,98.4,97.9,99.6,2.4,0.13
上海,24,2015,186.91,0.45,5.07,81.41,95.2,98.1,98.4,5.07,100,98.1,98,99.5,2.2,0.13
上海,24,2016,184,0.6,5,81.63,95.9,98.1,98.4,5,100,98.1,98,99.6,2.2,0.15
上海,24,2017,185.06,0.55,5.3,81.86,96.2,98,98.3,5.3,100,98,97.9,99.6,2,0.17
上海,24,2018,175.04,0.51,5.4,82.09,96.2,97.8,97.9,5.4,100,97.8,98,99.5,2.4,0.17
上海,24,2019,177.16,0.4,5.5,82.32,94.6,97.1,98.1,5.5,100,97.1,98,99.5,1.8,0.21
上海,24,2020,128.63,0.52,5.58,82.55,95.7,97.9,98.4,5.55,99.9,97.9,95.4,99.4,1.8,0.25
上海,24,2021,135.23,0.47,5.6,82.78,96.2,97.7,98.3,5.59,99.8,97.3,99.6,99.6,1.8,0.28
上海,24,2022,141.83,0.42,6,83.01,96.7,97.5,98.2,5.63,99.7,96.7,100,99.8,1.8,0.31
上海,24,2023,148.43,0.37,6.37,83.24,97.2,97.3,98.1,5.67,99.6,96.1,100,100,1.8,0.34
上海,24,2024,155.03,0.32,6.4,83.47,97.7,97.1,98,5.71,99.5,95.5,100,100,1.8,0.37
四川,25,2012,216.73,1.95,6.92,75.36,88.3,92.3,93.3,6.92,96.2,92.1,87.8,86.6,5.2,1.6
四川,25,2013,198.29,2,6.9,75.66,91.9,94.3,95.6,6.9,97,93.7,91.8,90.8,5,1.37
四川,25,2014,182.88,2.13,7.02,75.97,93.2,94.9,95.8,7.02,97.5,94.9,93.2,92.3,4.5,1.13
四川,25,2015,187.72,2.32,6.94,76.27,93.9,95.2,96,6.94,98.1,95,93.9,93.1,4,1.21
四川,25,2016,184.9,2.73,6.99,76.57,93.8,95.2,96.1,6.99,98.7,95.2,94.3,93.8,3.9,1.15
四川,25,2017,190.97,3.19,7.03,76.88,94.3,95.7,96.9,7.03,99.3,95.4,94.4,94.1,3.5,1.14
四川,25,2018,188.98,4.98,7.01,77.18,93.6,95.6,96.6,7.01,99.6,95.6,94.2,94.1,3.2,1.08
四川,25,2019,212.59,4.99,7.09,77.49,94.3,95.9,96.9,7.09,99.8,95.9,95,95.2,3.2,1.11
四川,25,2020,196.03,4.32,8.5,77.79,95.5,97.1,97.8,7.92,99.8,97.2,95.8,95.7,3.4,1
四川,25,2021,209.56,4.47,8.7,78.09,95.1,96.6,97.9,8.74,99.8,95.5,95.7,95.7,3.4,1.11
四川,25,2022,223.09,4.62,9,78.4,94.7,96.1,98,9.56,99.8,93.8,95.6,95.7,3.4,1.22
四川,25,2023,236.62,4.77,9.43,78.71,94.3,95.6,98.1,10.38,99.8,92.1,95.5,95.7,3.4,1.33
四川,25,2024,250.15,4.92,9.43,79.02,93.9,95.1,98.2,11.2,99.8,90.4,95.4,95.7,3.4,1.44
天津,26,2012,197.97,0.63,6.12,79.37,92.8,94.7,95.9,6.12,100,97.5,77.9,93.2,7.9,0.23
天津,26,2013,198.32,0.55,6,79.61,93.4,94.9,95.5,6,100,94.6,84.7,92,7.3,0.23
天津,26,2014,190.33,0.61,6.05,79.85,93.3,94.9,95.8,6.05,100,98.6,88.6,91.8,7.2,0.29
天津,26,2015,242.66,0.51,5.61,80.1,92.4,94,99,5.61,100,98.1,86.8,93.3,6.7,0.32
天津,26,2016,205.99,0.7,5.54,80.34,95.2,96.4,97.2,5.54,100,98.2,89,93.8,7.5,0.33
天津,26,2017,223.71,0.72,5.05,80.58,96.2,97.5,99.1,5.05,100,98.7,87.4,94,5.8,0.43
天津,26,2018,224.82,0.66,5.42,80.82,93.1,97.9,99,5.42,100,98.9,91.5,93.7,5.7,0.51
天津,26,2019,246.83,0.71,5.3,81.06,94.4,97.6,98.2,5.3,100,99,92.3,95.4,5.5,0.62
天津,26,2020,225.08,0.61,5.9,81.3,93.7,97.6,98.9,5.77,100,96.3,94.6,92.7,4.6,0.56
天津,26,2021,138.35,0.39,6.2,81.54,95.2,97.5,98.9,6.23,100,96.1,93.7,93.7,4.6,0.6
天津,26,2022,129.62,0.17,6.4,81.78,96.7,97.4,98.9,6.69,100,95.9,92.8,94.7,4.6,0.64
天津,26,2023,135.11,0.52,6.46,82.02,98.2,97.3,98.9,7.15,100,95.7,91.9,95.7,4.6,0.68
天津,26,2024,221.84,0.67,7.04,82.26,99.7,97.2,98.9,7.61,100,95.5,91,96.7,4.6,0.72
西藏,27,2012,230.95,1.38,5.21,68.97,38.2,52.7,61.6,5.21,73.3,59.3,49.5,53.2,24,5.21
西藏,27,2013,237.57,0.75,5.39,69.38,44.2,68.5,66.6,5.39,82.3,73.9,62.5,63.2,18.8,4.17
西藏,27,2014,267.66,0.77,5.21,69.78,49.6,75.6,88.9,5.21,85,70.1,64.3,58.9,16.8,4.32
西藏,27,2015,325.52,0.6,5.1,70.18,71,84.1,87.3,5.1,90.5,81.8,73.1,64.7,16.9,4.87
西藏,27,2016,287.09,0.46,5.11,70.58,74.4,87.4,90.2,5.11,91.7,82.1,72.3,69.7,16.5,3.32
西藏,27,2017,316.71,0.91,4.95,70.98,59.7,83.4,89.5,4.95,92.5,84.1,73.4,70.8,15.9,2.66
西藏,27,2018,358.09,0.65,4.58,71.39,54.4,68.9,77,4.58,90.7,69.1,71.3,71,14.7,2.11
西藏,27,2019,397.67,0.55,4.46,71.79,56.4,71.4,77.3,4.46,95.3,71.1,71.9,73.4,12.6,2.84
西藏,27,2020,337.1,0.54,5.4,72.19,75,84.7,89,4.97,98.3,90.8,85.3,86.4,13.5,2.09
西藏,27,2021,333.32,0.43,5.5,72.59,75.1,86.5,86.6,5.47,98.6,84.8,84.2,84.2,13.5,2.12
西藏,27,2022,329.54,0.49,5.5,72.99,75.2,88.3,84.2,5.97,98.9,78.8,83.1,82,13.5,2.15
西藏,27,2023,325.76,0.55,5.48,73.39,75.3,90.1,81.8,6.47,99.2,72.8,82,79.8,13.5,2.18
西藏,27,2024,321.98,0.61,5.76,73.79,75.4,91.9,79.4,6.97,99.5,66.8,80.9,77.6,13.5,2.21
新疆,28,2012,624.48,3.16,4.48,73.01,83.9,91.5,94.8,4.48,98.6,90.8,81.7,83.5,14.4,1.85
新疆,28,2013,618.99,3.88,4.92,73.34,85.6,92.4,94.8,4.92,98.8,92,82.4,84.6,13.9,1.91
新疆,28,2014,611.78,3.52,4.97,73.67,84.6,91.7,94.3,4.97,98.7,90.1,84.6,85,14.3,2.13
新疆,28,2015,635.11,4.3,4.51,74,85.2,92.3,94.2,4.51,98.6,91.5,86.9,87.4,14.2,2.02
新疆,28,2016,606.7,4.27,4.26,74.33,84.7,92.5,94.5,4.26,98.8,91.9,86.1,87,14.8,1.72
新疆,28,2017,589.41,4.27,4.48,74.66,84.8,92.2,94.7,4.48,99,91.9,89.5,92.3,12.9,2.14
新疆,28,2018,659.75,6.31,4.56,74.99,87,93.8,97.5,4.56,99.1,94.3,92.3,94.1,11,1.61
新疆,28,2019,483.78,6.72,4.45,75.32,88.4,94.6,97.2,4.45,98.5,94.8,92.9,95.6,8.1,1.66
新疆,28,2020,324.99,3.21,5.5,75.65,90.1,96.7,98.5,5.03,99.8,95.2,92,93.3,9.1,0.68
新疆,28,2021,331.86,3.66,5.6,75.98,94.3,98,99.1,5.6,99.9,96.2,95.9,95.9,9.1,0.82
新疆,28,2022,338.73,4.11,5.8,76.31,98.5,99.3,99.7,6.17,100,97.2,99.8,98.5,9.1,0.96
新疆,28,2023,345.6,4.56,5.76,76.64,99.2,100,100,6.74,100,98.2,100,100,9.1,1.1
新疆,28,2024,352.47,5.01,6.17,76.97,100,100,100,7.31,100,99.2,100,100,9.1,1.24
云南,29,2012,206.13,3.92,6.41,70.44,93.1,97.1,96.7,6.41,96.5,96.9,89.4,90.5,8.5,2.97
云南,29,2013,206.43,4.07,6.43,70.88,94.4,97.9,97.6,6.43,98.2,97.6,92.1,92.6,7.2,2.65
云南,29,2014,208.52,4.03,6.45,71.33,93.9,97.8,98.5,6.45,98.9,98.1,91.8,92.7,7.3,2.13
云南,29,2015,207.72,4.2,6.48,71.78,92.8,97.7,98.3,6.48,99.3,97.6,91.9,92.8,7.1,1.93
云南,29,2016,187.9,4.3,6.55,72.23,91.2,97.8,98.5,6.55,99.6,97.9,91.6,92.4,7.3,1.77
云南,29,2017,195.04,5.1,6.68,72.68,87.1,97.2,98.5,6.68,99.7,97.1,90.5,92.2,6.1,1.84
云南,29,2018,197.37,4.9,6.32,73.12,75.6,95.2,97.8,6.32,99.8,95.5,88.6,90.9,5.4,1.7
云南,29,2019,217.05,4.92,6.2,73.57,76.4,94.4,98.1,6.2,99.8,95.3,88.6,91.4,5.4,1.72
云南,29,2020,189.61,4.03,7.9,74.02,93.7,97.1,98.7,7.16,99.9,97.3,94.4,94.7,5.3,1.5
云南,29,2021,191.41,4.16,8.1,74.47,91.1,97.2,98.7,8.12,99.9,93.1,94.2,94.2,5.3,1.43
云南,29,2022,193.21,4.29,8.2,74.92,88.5,97.3,98.7,9.08,99.9,88.9,94,93.7,5.3,1.36
云南,29,2023,195.01,4.42,8.61,75.37,85.9,97.4,98.7,10.04,99.9,84.7,93.8,93.2,5.3,1.29
云南,29,2024,196.81,4.55,8.9,75.82,83.3,97.5,98.7,11,99.9,80.5,93.6,92.7,5.3,1.22
浙江,30,2012,209.14,0.44,5.52,78.22,96.6,98.2,98.6,5.52,100,98.9,95.7,96.7,5,0.6
浙江,30,2013,192.46,0.47,5.45,78.47,96.7,98.2,98.6,5.45,100,98.9,96.1,97.1,4.8,0.54
浙江,30,2014,193.92,0.65,5.51,78.71,96.8,98.2,98.7,5.51,100,99,96.3,97.1,4.5,0.57
浙江,30,2015,193.24,0.62,5.5,78.96,96.8,98.1,98.6,5.5,100,99,96.9,97.3,4,0.51
浙江,30,2016,195.31,0.71,5.52,79.21,96.3,98.1,98.8,5.52,100,98.7,96.7,97.1,3.9,0.5
浙江,30,2017,206.91,0.77,5.56,79.45,96.4,98.1,98.8,5.56,100,98.6,96.5,97.3,3.7,0.51
浙江,30,2018,181.83,0.71,5.58,79.7,95.9,97.9,98.5,5.58,100,98,96.3,97.3,3.6,0.47
浙江,30,2019,175.02,0.75,5.52,79.94,96.3,98.1,98.6,5.52,100,98.7,96.6,97.5,3.5,0.43
浙江,30,2020,146.47,0.61,6.56,80.19,96.3,98.2,98.5,5.71,100,98.8,96.5,97.6,3.6,0.38
浙江,30,2021,144.35,0.6,5.9,80.44,96.5,98.2,98.4,5.9,100,97.1,98,98,3.6,0.53
浙江,30,2022,142.23,0.59,6.2,80.68,96.7,98.2,98.3,6.09,100,95.4,99.5,98.4,3.6,0.68
浙江,30,2023,140.11,0.58,6.68,80.92,96.9,98.2,98.2,6.28,100,93.7,100,98.8,3.6,0.83
浙江,30,2024,137.99,0.57,6.5,81.16,97.1,98.2,98.1,6.47,100,92,100,99.2,3.6,0.98
重庆,31,2012,245.58,1.89,6.86,76.27,86.1,91,95.2,6.86,97.6,90.2,85.6,87.2,4.7,0.85
重庆,31,2013,254.55,1.89,6.77,76.56,85.5,91.2,95.1,6.77,98.5,88.5,88.7,90.1,4.6,0.78
重庆,31,2014,250.39,1.94,7.05,76.84,89.1,93.4,96.5,7.05,98.9,93,88,90.3,4.3,0.96
重庆,31,2015,262.08,2.07,7.19,77.13,90.1,93.4,96.9,7.19,99.5,93.3,89.4,92,4,1.15
重庆,31,2016,263.6,2.63,7.24,77.42,90.9,93.4,97,7.24,99.6,93.6,90.3,92.2,4.3,1.02
重庆,31,2017,283.73,2.83,7.27,77.7,90.9,92.9,97.4,7.27,99.7,93,90.7,92,4.2,0.9
重庆,31,2018,240.88,3.66,7.54,77.99,90.3,92,97.4,7.54,99.8,92.2,90,91.2,3.8,0.95
重庆,31,2019,237.02,4.62,7.57,78.27,91.6,93.8,98,7.57,99.9,94.4,91.4,93.2,3.5,0.89
重庆,31,2020,202.07,4.04,7.7,78.56,92.3,95.3,98.3,7.81,100,95.9,92.1,93.4,4,0.86
重庆,31,2021,194.67,4.64,8,78.85,93.4,95.7,98.4,8.04,100,91.7,93.9,93.9,4,0.78
重庆,31,2022,187.27,5.24,8.1,79.13,94.5,96.1,98.5,8.27,100,87.5,95.7,94.4,4,0.7
重庆,31,2023,179.87,5.84,8.9,79.41,95.6,96.5,98.6,8.5,100,83.3,97.5,94.9,4,0.62
重庆,31,2024,175.34,6.44,8.9,79.69,96.7,96.9,98.7,8.73,100,79.1,99.3,95.4,4,0.54
